(41.86954853, -87.71963372)
(41.75895363, -87.64910768)
(41.78396326, -87.6910884)
(41.97112669, -87.65024316)
(41.90982929, -87.67660996)
(41.96177961, -87.70948766)
(41.82839165, -87.60916777)
(41.99241608, -87.73372815)
(41.83050891, -87.6102667)
(41.9026468, -87.72789056)
(41.95060373, -87.68836695)
(41.85406784, -87.67163076)
(41.67352404, -87.63334776)
(41.80200757, -87.62224293)
(41.82741781, -87.62107755)
(41.92978534, -87.70857942)
(41.72697114, -87.59369092)
(41.8145254, -87.60448179)
(41.934923, -87.76686268)
(41.89422054, -87.7101786)
(41.7044285, -87.62225715)
(41.71215597, -87.6042147)
(41.88442062, -87.64478869)
(41.9455701, -87.71926173)
(41.77469815, -87.69694024)
(41.74934653, -87.56376536)
(41.83531069, -87.64134124)
(41.7702603, -87.72009345)
(41.89286042, -87.77098445)
(41.87503748, -87.74381513)
(41.72113609, -87.61654182)
(41.97465627, -87.80241441)
(41.92318405, -87.73774637)
(41.93792188, -87.74439039)
(41.77542973, -87.64075349)
(41.80043951, -87.66597363)
(41.81655051, -87.62240857)
(41.79536573, -87.65247946)
(41.98029046, -87.77755315)
(41.74609047, -87.65968794)
(41.93200351, -87.7747789)
(41.9734597, -87.70861614)
(41.71867412, -87.53649137)
(41.74812464, -87.65003621)
(41.92236714, -87.69648914)
(41.81534899, -87.71192321)
(41.69474513, -87.68125213)
(41.8084942, -87.61812907)
(41.77757514, -87.63747113)
(41.75550532, -87.62308999)
(41.93677841, -87.64810693)
(41.8955127, -87.71061414)
(41.81590744, -87.61039061)
(41.88410434, -87.65854125)
(41.7666128, -87.56815937)
(41.68696715, -87.6277324)
(41.85075162, -87.67000224)
(41.99705873, -87.66176752)
(41.96024804, -87.78466528)
(41.80991216, -87.671084)
(41.89482155, -87.63213393)
(41.87763398, -87.67951373)
(41.88588808, -87.62794224)
(41.88588808, -87.62794224)
(41.82855374, -87.61927809)
(41.75093604, -87.6828716)
(41.74744254, -87.6160184)
(41.83085821, -87.63794742)
(41.89570773, -87.69023451)
(41.89262841, -87.63115524)
(41.7781965, -87.6933677)
(41.9008439, -87.66742334)
(41.8081478, -87.66496197)
(41.75012279, -87.55070989)
(41.75332794, -87.64774913)
(41.87755091, -87.75618119)
(41.91071132, -87.69333529)
(41.73207529, -87.64350186)
(41.81139702, -87.67112005)
(41.88634526, -87.77485728)
(41.88423036, -87.68275892)
(41.76490714, -87.6116159)
(41.78118411, -87.61564981)
(41.79946066, -87.59608897)
(41.78044316, -87.66666498)
(41.98225583, -87.88496946)
(41.91597641, -87.6756578)
(41.74950012, -87.60112442)
(41.95442232, -87.74055112)
(41.97889027, -87.6926457)
(41.94910733, -87.65026876)
(41.88428728, -87.66166081)
(41.95771712, -87.65463647)
(41.93529295, -87.73854151)
(41.85975763, -87.62397489)
(41.88183462, -87.7094617)
(41.9109275, -87.78726645)
(41.74212943, -87.72441382)
(41.76462957, -87.64007424)
(41.72173389, -87.62309571)
(41.89478238, -87.63471275)
(41.84443756, -87.71077935)
(41.88360497, -87.70750184)
(41.76181361, -87.56372637)
(41.87670567, -87.75128681)
(41.79639801, -87.61602285)
(41.90617941, -87.66189058)
(41.87967869, -87.77300585)
(41.76229934, -87.69052009)
(41.80998078, -87.66257334)
(41.77356025, -87.64705347)
(41.99591398, -87.72520109)
(41.91445982, -87.71791039)
(41.77239906, -87.64975665)
(42.00570529, -87.82077735)
(41.76569337, -87.59584154)
(41.87664662, -87.76580603)
(41.99748881, -87.70376056)
(41.96469435, -87.70905476)
(41.74768728, -87.59958393)
(41.90202051, -87.77375461)
(41.88917944, -87.63304033)
(41.91109112, -87.64010819)
(41.72095191, -87.55006396)
(41.94752074, -87.72743306)
(41.79479466, -87.61679251)
(41.90106741, -87.66291756)
(41.94722589, -87.65554544)
(41.74772358, -87.6597295)
(41.76023658, -87.57003843)
(41.83042272, -87.69480715)
(41.88040786, -87.62616279)
(41.73488399, -87.55966971)
(41.97336122, -87.76132597)
(41.78226987, -87.68617018)
(41.80922247, -87.70865184)
(41.74973795, -87.66585039)
(41.87263866, -87.71657871)
(41.87736877, -87.74516334)
(41.91037023, -87.68390431)
(41.7227687, -87.62446164)
(41.76779635, -87.67360676)
(41.9710471, -87.65487007)
(41.905834, -87.63842747)
(41.96372173, -87.7473591)
(41.88357806, -87.70961734)
(41.97197328, -87.71998637)
(41.8068116, -87.64548097)
(41.77605106, -87.59296962)
(41.87461334, -87.75484906)
(41.89008168, -87.76843061)
(41.93991842, -87.65328888)
(42.01075368, -87.67432913)
(41.69371881, -87.63637656)
(41.96468636, -87.78371164)
(41.98554161, -87.71505617)
(41.69371881, -87.63637656)
(41.89348504, -87.65822582)
(41.79493659, -87.65975244)
(41.96031236, -87.77977104)
(41.8536799, -87.64576452)
(41.88152445, -87.66270693)
